window_end_ts,p50_ingest_ms,p95_ingest_ms,p50_feature_ms,p95_feature_ms
2025-08-15T10:00:03+00:00,0.06,0.1,506.72,955.21
2025-08-15T10:00:03+00:00,0.08,0.67,487.91,957.62
2025-08-15T10:00:03+00:00,0.09,0.55,504.18,951.11
2025-08-15T10:00:03+00:00,0.06,0.12,501.81,953.17
2025-08-15T10:00:03+00:00,0.07,0.14,493.38,943.54
2025-08-15T10:00:03+00:00,0.07,0.29,507.1,951.78
2025-08-15T10:00:03+00:00,0.07,0.11,501.97,952.63
2025-08-15T10:00:03+00:00,0.06,0.13,503.22,957.41
2025-08-15T10:00:03+00:00,0.07,0.54,502.91,951.89
2025-08-15T10:00:03+00:00,0.06,0.1,501.27,951.0
2025-08-15T10:00:03+00:00,0.06,0.15,504.34,949.46
2025-08-15T10:00:03+00:00,0.06,0.32,506.99,955.08
2025-08-15T10:00:03+00:00,0.05,0.09,509.18,951.15
2025-08-15T10:00:03+00:00,0.06,0.1,505.98,947.79
2025-08-15T10:00:03+00:00,0.08,0.37,497.08,951.53
2025-08-15T10:00:03+00:00,0.07,0.13,506.47,950.78
2025-08-15T10:00:03+00:00,0.06,0.12,505.86,953.94
2025-08-15T10:00:03+00:00,0.06,0.32,501.14,940.99
2025-08-15T10:00:03+00:00,0.06,0.11,507.7,956.9
2025-08-15T10:00:03+00:00,0.07,0.47,505.03,952.39
2025-08-15T10:00:03+00:00,0.06,0.1,500.36,949.5
2025-08-15T10:00:03+00:00,0.06,0.12,511.94,957.64
2025-08-15T10:00:03+00:00,0.08,0.38,507.46,947.12
2025-08-15T10:00:03+00:00,0.05,0.13,499.43,952.93
2025-08-15T10:00:03+00:00,0.06,0.11,508.23,949.58
2025-08-15T10:00:03+00:00,0.06,0.53,504.36,950.74
2025-08-15T10:00:03+00:00,0.06,0.11,501.83,946.58
2025-08-15T10:00:03+00:00,0.06,0.34,511.22,957.97
2025-08-15T10:00:03+00:00,0.06,0.11,505.65,944.21
2025-08-15T10:00:03+00:00,0.06,0.13,506.75,957.0
2025-08-15T10:00:03+00:00,0.07,0.47,500.17,955.84
2025-08-15T10:00:03+00:00,0.06,0.13,497.51,942.13
2025-08-15T10:00:03+00:00,0.06,0.1,509.22,947.49
2025-08-15T10:00:03+00:00,0.06,0.37,508.96,954.96
2025-08-15T10:00:03+00:00,0.07,0.12,498.58,949.13
2025-08-15T10:00:03+00:00,0.06,0.11,515.77,956.51
2025-08-15T10:00:03+00:00,0.06,0.15,505.14,952.9
2025-08-15T10:00:03+00:00,0.06,0.31,500.36,944.34
2025-08-15T10:00:03+00:00,0.06,0.11,511.0,955.98
2025-08-15T10:00:03+00:00,0.05,0.08,502.94,951.6
2025-08-15T10:00:03+00:00,0.07,0.12,497.51,944.29
2025-08-15T10:00:03+00:00,0.07,0.45,511.02,955.54
2025-08-15T10:00:03+00:00,0.06,0.11,498.48,945.53
2025-08-15T10:00:03+00:00,0.07,0.17,512.34,954.47
